"OCEAN","REGION","MAJOR_GROUP","ORDER","FAMILY","SPECIES"
"Pacific","Pacific, Northwest","MOLLUSCA","GASTROPODA","HALIOTIDAE","ABX"
"Pacific","Pacific, Northwest","MOLLUSCA","GASTROPODA","","GAS"
"Pacific","Pacific, Northwest","MOLLUSCA","BIVALVIA","OSTREIDAE","OYG"
"Pacific","Pacific, Northwest","MOLLUSCA","BIVALVIA","ARCIDAE","BLC"
"Pacific","Pacific, Northwest","INVERTEBRATA AQUATICA","ANTHOZOA","CORALLIIDAE","CSE"
"Pacific","Pacific, Northwest","INVERTEBRATA AQUATICA","ANTHOZOA","","CSS"
"Pacific","Pacific, Southeast","PISCES","PERCOIDEI","LUTJANIDAE","SNA"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","CARANGIDAE","AMB"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","CARANGIDAE","AMX"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","CARANGIDAE","POB"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","CARANGIDAE","HAS"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","CORYPHAENIDAE","DOL"
"","Asia - Inland waters","PISCES","CYPRINIFORMES","CYPRINIDAE","BIC"
"","Asia - Inland waters","PISCES","CYPRINIFORMES","CYPRINIDAE","BKC"
"","Asia - Inland waters","PISCES","PERCOIDEI","CICHLIDAE","TLP"
"Pacific","Pacific, Northwest","MOLLUSCA","BIVALVIA","VENERIDAE","HCJ"
"Pacific","Pacific, Northwest","MOLLUSCA","BIVALVIA","VENERIDAE","CLJ"
"Pacific","Pacific, Northwest","MOLLUSCA","BIVALVIA","","CLX"
"Pacific","Pacific, Northwest","INVERTEBRATA AQUATICA","DEMOSPONGIAE","SPONGIIDAE","SPO"
"Pacific","Pacific, Northwest","PLANTAE AQUATICAE","RHODOPHYCEAE","GRACILARIACEAE","GLS"
"Pacific","Pacific, Northwest","PLANTAE AQUATICAE","RHODOPHYCEAE","BANGIACEAE","PRT"
"Pacific","Pacific, Northwest","PLANTAE AQUATICAE","RHODOPHYCEAE","RHODOMELACEAE","DGM"
"Pacific","Pacific, Southeast","PISCES","PERCOIDEI","HAEMULIDAE","GRX"
"Pacific","Pacific, Southeast","PISCES","PERCOIDEI","SCIAENIDAE","KIX"
"Atlantic","Atlantic, Southeast","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","BLM"
"Atlantic","Atlantic, Northeast","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","WHM"
"Pacific","Pacific, Northwest","PISCES","STROMATEOIDEI, ANABANTOIDEI","STROMATEIDAE","SIP"
"Pacific","Pacific, Northwest","PISCES","OTHER PERCIFORMES","SPHYRAENIDAE","BAR"
"","Asia - Inland waters","PISCES","SILURIFORMES","CLARIIDAE","CTO"
"","Asia - Inland waters","PISCES","ANGUILLIFORMES","ANGUILLIDAE","ELJ"
"Indian","Indian Ocean, Western","MOLLUSCA","CEPHALOPODA","LOLIGINIDAE","SQC"
"Indian","Indian Ocean, Eastern","MOLLUSCA","CEPHALOPODA","LOLIGINIDAE","SQC"
"Pacific","Pacific, Northwest","MOLLUSCA","CEPHALOPODA","LOLIGINIDAE","SQC"
"Pacific","Pacific, Western Central","MOLLUSCA","CEPHALOPODA","LOLIGINIDAE","SQC"
"","Asia - Inland waters","AMPHIBIA, REPTILIA","TESTUDINES","TRIONYCHIDAE","TTS"
"","Asia - Inland waters","AMPHIBIA, REPTILIA","CROCODILIA","CROCODYLIDAE","CAI"
"","Asia - Inland waters","AMPHIBIA, REPTILIA","CROCODILIA","CROCODYLIDAE","AGM"
"Pacific","Pacific, Southeast","PISCES","PERCOIDEI","GERREIDAE","GDJ"
"Pacific","Pacific, Southeast","PISCES","PERCOIDEI","POLYNEMIDAE","THF"
"Pacific","Pacific, Southeast","PISCES","PERCOIDEI","BRANCHIOSTEGIDAE","TIS"
"Pacific","Pacific, Southeast","PISCES","PERCOIDEI","LOBOTIDAE","LOZ"
"Pacific","Pacific, Northwest","PLANTAE AQUATICAE","RHODOPHYCEAE","GELIDIACEAE","GEL"
"Pacific","Pacific, Northwest","PLANTAE AQUATICAE","CHLOROPHYCEAE","ULVACEAE","UVP"
"","America, South - Inland waters","PISCES","PERCOIDEI","CICHLIDAE","TLN"
"","America, South - Inland waters","PISCES","PERCOIDEI","CICHLIDAE","AST"
"Pacific","Pacific, Northwest","PISCES","STROMATEOIDEI, ANABANTOIDEI","STROMATEIDAE","XPO"
"Atlantic","Atlantic, Northeast","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","BIL"
"Pacific","Pacific, Northwest","CRUSTACEA","NATANTIA","PENAEIDAE","FLP"
"Pacific","Pacific, Northwest","CRUSTACEA","NATANTIA","PENAEIDAE","TRV"
"Pacific","Pacific, Northwest","CRUSTACEA","NATANTIA","SERGESTIDAE","AKS"
