"Year","MonthStart","Gear","Fleet","EffortUnits","QualityCode","Source","Region","Ocean","FAO_AREA_CODE","effort"
1973,5,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Western","Indian","51",100329.411764706
1973,6,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",48450
1973,6,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Western","Indian","51",117784.615384615
1973,7,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",45860
1973,7,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Western","Indian","51",115000
1973,8,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",73058.3333333333
1973,8,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Western","Indian","51",237828.571428571
1973,9,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",64561.5384615385
1973,9,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Western","Indian","51",143346.666666667
1973,9,"LL","TWN","HOOKS",3,"LO",NA,NA,NA,26400
1973,10,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Western","Indian","51",94538.0952380952
1973,10,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",73052.6315789474
1973,10,"LL","TWN","HOOKS",3,"LO",NA,NA,NA,37200
1973,11,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",106031.25
1973,11,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Western","Indian","51",151809.090909091
1973,12,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",103076.470588235
1973,12,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Western","Indian","51",127260
1973,12,"LL","TWN","HOOKS",3,"LO",NA,NA,NA,66000
1974,1,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",121250
1974,1,"LL","TWN","HOOKS",3,"LO","Indian Ocean, Western","Indian","51",90125
