"GLOBAL","YEAR","SPECIES","QUANTITY"
"GLOBAL",1950-01-01,"FLX",153690
"GLOBAL",1950-01-01,"FLY",4200
"GLOBAL",1950-01-01,"FOR",0
"GLOBAL",1950-01-01,"FOX",0
"GLOBAL",1950-01-01,"FPE",4700
"GLOBAL",1950-01-01,"FPI",26000
"GLOBAL",1950-01-01,"FPP",48800
"GLOBAL",1950-01-01,"FPY",3651
"GLOBAL",1950-01-01,"FRF",1140424
"GLOBAL",1950-01-01,"FRG",173
"GLOBAL",1950-01-01,"FRI",0
"GLOBAL",1950-01-01,"FRO",2100
"GLOBAL",1950-01-01,"FRX",68700
"GLOBAL",1950-01-01,"FRZ",22981
"GLOBAL",1950-01-01,"FSA",0
"GLOBAL",1950-01-01,"FSC",3700
"GLOBAL",1950-01-01,"FSH",10500
"GLOBAL",1950-01-01,"FSI",19500
"GLOBAL",1950-01-01,"FSS",20220
"GLOBAL",1950-01-01,"FTE",0
"GLOBAL",1950-01-01,"FTS",5000
"GLOBAL",1950-01-01,"FUT",0
"GLOBAL",1950-01-01,"FVE",3000
"GLOBAL",1950-01-01,"GAD",204
"GLOBAL",1950-01-01,"GAG",600
"GLOBAL",1950-01-01,"GAL",100
"GLOBAL",1950-01-01,"GAM",0
"GLOBAL",1950-01-01,"GAR",6200
"GLOBAL",1950-01-01,"GAS",19
"GLOBAL",1950-01-01,"GAZ",2000
"GLOBAL",1950-01-01,"GBA",200
"GLOBAL",1950-01-01,"GBR",0
"GLOBAL",1950-01-01,"GDE",0
"GLOBAL",1950-01-01,"GDG",0
"GLOBAL",1950-01-01,"GDJ",0
"GLOBAL",1950-01-01,"GEL",0
"GLOBAL",1950-01-01,"GEM",100
"GLOBAL",1950-01-01,"GEP",0
"GLOBAL",1950-01-01,"GFB",900
"GLOBAL",1950-01-01,"GGW",0
"GLOBAL",1950-01-01,"GHL",3200
"GLOBAL",1950-01-01,"GIP",900
"GLOBAL",1950-01-01,"GIS",0
"GLOBAL",1950-01-01,"GIT",1500
"GLOBAL",1950-01-01,"GIY",0
"GLOBAL",1950-01-01,"GKL",0
"GLOBAL",1950-01-01,"GLS",5100
"GLOBAL",1950-01-01,"GNC",0
"GLOBAL",1950-01-01,"GOA",0
"GLOBAL",1950-01-01,"GOX",3300
"GLOBAL",1950-01-01,"GPA",11800
"GLOBAL",1950-01-01,"GPB",100
"GLOBAL",1950-01-01,"GPD",200
"GLOBAL",1950-01-01,"GPR",2500
"GLOBAL",1950-01-01,"GPW",0
"GLOBAL",1950-01-01,"GPX",8231
"GLOBAL",1950-01-01,"GQO",100602
"GLOBAL",1950-01-01,"GRA",0
"GLOBAL",1950-01-01,"GRB",1000
"GLOBAL",1950-01-01,"GRC",0
"GLOBAL",1950-01-01,"GRL",0
"GLOBAL",1950-01-01,"GRM",0
"GLOBAL",1950-01-01,"GRN",0
"GLOBAL",1950-01-01,"GRO",10100
"GLOBAL",1950-01-01,"GRP",600
"GLOBAL",1950-01-01,"GRQ",0
"GLOBAL",1950-01-01,"GRV",0
"GLOBAL",1950-01-01,"GRX",3338
"GLOBAL",1950-01-01,"GSK",0
"GLOBAL",1950-01-01,"GSU",27500
"GLOBAL",1950-01-01,"GTA",0
"GLOBAL",1950-01-01,"GUC",0
"GLOBAL",1950-01-01,"GUG",0
"GLOBAL",1950-01-01,"GUP",0
"GLOBAL",1950-01-01,"GUQ",0
"GLOBAL",1950-01-01,"GUR",0
"GLOBAL",1950-01-01,"GUT",6282
"GLOBAL",1950-01-01,"GUX",6800
"GLOBAL",1950-01-01,"HAD",343222
"GLOBAL",1950-01-01,"HAI",100
"GLOBAL",1950-01-01,"HAJ",0
"GLOBAL",1950-01-01,"HAL",21644
"GLOBAL",1950-01-01,"HAP",14250
"GLOBAL",1950-01-01,"HAS",3000
"GLOBAL",1950-01-01,"HBN",0
"GLOBAL",1950-01-01,"HCD",0
"GLOBAL",1950-01-01,"HCJ",12250
